config,n_runs,description,accuracy_mean,accuracy_std,auc_macro_mean,auc_macro_std,f1_macro_mean,f1_macro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
baseline,3,Original three-phase fine-tuning (no changes),0.7807308970099668,0.004698383928149848,0.9444037091990162,0.002114924590222267,0.7813528476318349,0.005084705271396456,0.7834236889016467,0.0033098839283475473,0.7872115065401594,0.005736216754754
a1_resolution,3,Baseline + higher input resolution,0.7718715393133998,0.009622451382603937,0.9560625302584348,0.0001833379933519645,0.7747527781819145,0.010690429605867068,0.8033761021828848,0.006703380471668671,0.7814656644983232,0.008637041791713077
a2_cosine,3,A1 + cosine LR decay with linear warm-up,0.784606866002215,0.03143979970449258,0.9589251823510233,0.003048369308812153,0.7873992643907384,0.031174162898524652,0.80597318778532,0.021381541098141988,0.7926746373267216,0.03054760050768334
a3_mixup,3,A2 + MixUp augmentation (alpha=0.4),0.7702104097452934,0.014246600587229933,0.9583304932179116,0.0010419259774021388,0.7724759592272346,0.015201040674566858,0.8003236691741885,0.006738196041725669,0.7807610634858575,0.013351106585836367
a4_augstack,3,A3 + CutMix + stronger spatial/colour augmentation,0.7801771871539313,0.012306816595178788,0.9575870351802503,0.0005755902216930358,0.7822766056048858,0.012853380059790453,0.796198864343855,0.006870924139463267,0.7896655143822366,0.011508813654409323
