config,n_runs,description,accuracy_mean,accuracy_std,auc_macro_mean,auc_macro_std,f1_macro_mean,f1_macro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
baseline,3,Original three-phase fine-tuning (no changes),0.7873754152823921,0.0027126132256734808,0.9417752512158222,0.0018737123600044345,0.7884896431537577,0.0029156457494166443,0.7894961144017443,0.002397499163970965,0.7939721103994138,0.002061718689203704
a1_resolution,3,Baseline + higher input resolution,0.8056478405315616,0.00825009104415912,0.9596670820872847,0.001922947963472873,0.8090827095600459,0.008908094213859671,0.8193652836945139,0.006846266790275705,0.8120864533773974,0.0072171327298155485
a2_cosine,3,A1 + cosine LR decay with linear warm-up,0.8333333333333334,0.017649365947407764,0.9641961806870946,0.004282636215307674,0.8355645006720852,0.017141875812264912,0.8369505176889983,0.016313569246017706,0.837553950482608,0.01596207688730654
a3_mixup,3,A2 + MixUp augmentation (alpha=0.4),0.8067552602436323,0.0020717925729645138,0.9567897640632886,0.0014089147085548362,0.8096914682223151,0.0021581921810515806,0.8151779734260152,0.0017299080947154849,0.8121401256437858,0.0011141555270280056
a4_augstack,3,A3 + CutMix + stronger spatial/colour augmentation,0.8128460686600221,0.011535252854927834,0.959255518305714,0.004152798042392854,0.8156914856509042,0.01088590527899648,0.8196813031760245,0.007741839623708526,0.8183709354286299,0.010106537308049158
